Ticker,Date,Consensus_EPS,Used_EPS,EPS_Source,EPS_Surprise,Consensus_Revenue,Actual_Revenue,Revenue_Surprise,Raw_Revenue_Estimate,Raw_Revenue_Actual
A,2016-02-16,0.43,0.46,REPORTED,0.06976744186046518,1020000000.0,1030000000.0,0.00980392156862745,"$1,020,000,000","$1,030,000,000"
A,2016-05-16,0.39,0.44,REPORTED,0.12820512820512817,983080000.0,1020000000.0,0.037555438011148634,"$983,080,000","$1,020,000,000"
